"Week","Confirmed
Registration","Logged In","First Battle","First
Upgrade","Tank
Purchase","Confirmed
Registration","Logged In","First Battle","First
Upgrade","Tank
Purchase"
"12 Apr-17 Apr","91 366","84,13 %","91,76 %","88,44 %","88,10 %","43 579","66,22 %","92,19 %","86,09 %","87,26 %"
"18 Apr-24 Apr","39 346","47,87 %","92,54 %","73,28 %","80,62 %","25 878","27,95 %","92,96 %","73,74 %","77,90 %"
"25 Apr-01 May","19 822","66,62 %","94,38 %","79,40 %","81,22 %","27 384","27,65 %","92,55 %","74,10 %","77,38 %"
"02 May-08 May","18 388","68,84 %","94,32 %","79,52 %","81,00 %","16 434","25,58 %","92,55 %","72,39 %","76,67 %"
"09 May-15 May","17 387","68,70 %","94,68 %","78,82 %","80,04 %","15 754","24,72 %","92,45 %","70,19 %","74,63 %"
"16 May-22 May","18 146","68,29 %","92,85 %","74,51 %","79,90 %","18 162","25,00 %","89,45 %","65,24 %","72,19 %"
"23 May-29 May","16 344","67,94 %","92,41 %","73,70 %","79,70 %","20 076","26,19 %","89,77 %","63,92 %","71,66 %"
"30 May-05 Jun","15 008","67,48 %","92,67 %","73,82 %","79,58 %","22 704","27,29 %","90,36 %","64,15 %","72,24 %"
"06 Jun-12 Jun","17 181","67,91 %","92,24 %","71,41 %","77,79 %","27 630","29,03 %","90,63 %","63,69 %","73,48 %"
"13 Jun-19 Jun","18 434","61,66 %","92,84 %","74,66 %","77,46 %","27 143","27,28 %","90,57 %","64,02 %","75,20 %"
"20 Jun-26 Jun","16 235","65,11 %","92,46 %","73,19 %","79,28 %","25 328","27,74 %","90,33 %","66,17 %","74,95 %"
"27 Jun-03 Jul","14 535","66,63 %","93,15 %","73,38 %","77,98 %","14 943","32,56 %","91,63 %","65,32 %","75,03 %"
"04 Jul-10 Jul","11 150","67,70 %","93,00 %","73,49 %","78,10 %","9 912","40,76 %","91,41 %","64,15 %","74,21 %"
"11 Jul-17 Jul","12 844","67,58 %","93,10 %","73,11 %","78,99 %","9 115","39,61 %","92,41 %","64,48 %","75,27 %"
"18 Jul-24 Jul","13 912","69,84 %","93,31 %","71,56 %","76,70 %","8 655","39,46 %","91,92 %","66,39 %","74,09 %"
"25 Jul-31 Jul","13 383","69,03 %","93,00 %","71,21 %","76,84 %","10 412","36,15 %","91,05 %","65,01 %","74,19 %"
"01 Aug-07 Aug","13 975","67,60 %","92,47 %","70,59 %","75,58 %","16 782","33,93 %","89,15 %","59,52 %","69,61 %"
"08 Aug-14 Aug","15 048","62,89 %","88,64 %","74,50 %","77,49 %","18 104","28,65 %","85,33 %","65,61 %","72,35 %"
"15 Aug-21 Aug","16 233","62,36 %","91,67 %","73,06 %","77,54 %","15 451","29,43 %","89,64 %","65,51 %","72,62 %"
"22 Aug-28 Aug","16 796","58,98 %","90,85 %","70,47 %","75,85 %","8 217","31,11 %","89,40 %","67,79 %","71,34 %"
"29 Aug-04 Sep","13 938","62,35 %","91,30 %","73,06 %","75,73 %","8 070","30,67 %","88,20 %","67,38 %","73,49 %"
"05 Sep-11 Sep","12 324","60,27 %","90,09 %","72,77 %","73,04 %","12 382","27,94 %","88,81 %","65,40 %","68,84 %"
"12 Sep-18 Sep","12 021","55,33 %","89,57 %","68,02 %","62,07 %","11 490","24,52 %","87,79 %","62,39 %","57,36 %"
